k1,b,MAP,Precision@10_overall,nDCG@10_overall,query,AP,Precision@10_query,nDCG@10_query
1.5,1.0,0.5936,0.936,0.9484,government election campaign,0.7243391692629336,1.0,1.0
1.5,1.0,0.5936,0.936,0.9484,football team championship win,0.7215009896315656,0.9,0.9216017310213246
2.0,0.25,0.5894,0.924,0.9252,minister resignation political party,0.7770513121002762,1.0,1.0
2.0,0.25,0.5894,0.924,0.9252,film awards best actor,0.7706869047084924,1.0,1.0
2.0,0.25,0.5894,0.924,0.9252,company profits economic growth,0.7353993420277066,0.9,0.8611375561264454
2.0,0.25,0.5894,0.924,0.9252,government election campaign,0.7299599862065587,1.0,1.0
2.0,0.25,0.5894,0.924,0.9252,technology company new device,0.7070517660022234,1.0,1.0
2.0,0.5,0.5915,0.932,0.9412,minister resignation political party,0.7795367460547573,1.0,1.0
2.0,0.5,0.5915,0.932,0.9412,film awards best actor,0.7731105966934927,1.0,1.0
2.0,0.5,0.5915,0.932,0.9412,company profits economic growth,0.7460778689262555,0.9,0.9216017310213246
2.0,0.5,0.5915,0.932,0.9412,government election campaign,0.7300540724219972,1.0,1.0
2.0,0.5,0.5915,0.932,0.9412,football team championship win,0.7108714595656521,0.9,0.8899541168509599
2.0,0.75,0.5929,0.936,0.9474,minister resignation political party,0.7794228716403566,1.0,1.0
2.0,0.75,0.5929,0.936,0.9474,film awards best actor,0.7756773768372554,1.0,1.0
2.0,0.75,0.5929,0.936,0.9474,company profits economic growth,0.7527937266530487,0.9,0.9266360779006398
2.0,0.75,0.5929,0.936,0.9474,government election campaign,0.7277683489069583,1.0,1.0
2.0,0.75,0.5929,0.936,0.9474,football team championship win,0.7168943244897361,0.9,0.905211635630449
2.0,1.0,0.593,0.936,0.9475,film awards best actor,0.7786485416972748,1.0,1.0
2.0,1.0,0.593,0.936,0.9475,minister resignation political party,0.7739110426503891,1.0,1.0
2.0,1.0,0.593,0.936,0.9475,company profits economic growth,0.7597147313906798,1.0,1.0
2.0,1.0,0.593,0.936,0.9475,government election campaign,0.7240210720978739,1.0,1.0
2.0,1.0,0.593,0.936,0.9475,football team championship win,0.7234023026662761,0.9,0.9305687780632227
